metric,seed111,seed222,seed333,seed444,seed555,mean,sd,ci_lower,ci_upper
Accuracy,0.8961,0.8938,0.903,0.8813,0.895,0.89384,0.007867845956804207,0.8840723450825901,0.9036076549174098
Balanced Accuracy,0.8995,0.8978,0.9036,0.8775,0.8959,0.89486,0.010112022547443231,0.8823062785236568,0.9074137214763431
Macro Precision,0.9025,0.904,0.9072,0.8975,0.9016,0.90256,0.0035401977345905617,0.8981649686279163,0.9069550313720838
Macro Recall,0.8995,0.8978,0.9036,0.8775,0.8959,0.89486,0.010112022547443231,0.8823062785236568,0.9074137214763431
Macro F1,0.8993,0.8988,0.9037,0.8849,0.8973,0.8968,0.007066116330771786,0.888027664305557,0.9055723356944431
