experiment,protocol,seed,accuracy,balanced_accuracy,macro_f1,train_size,test_size
metadata_baseline,B,111,0.2943871706758305,0.2739911990851114,0.2515748147455006,4085,873
metadata_baseline,B,222,0.2798165137614679,0.2953440620003383,0.261825416740738,4092,872
metadata_baseline,B,333,0.26490825688073394,0.27641154963386577,0.2428340471258314,4086,872
metadata_baseline,B,444,0.29579067121729236,0.3052839812825715,0.2691967534200622,4086,879
metadata_baseline,B,555,0.26689576174112256,0.2784524835330614,0.24618949980600785,4085,873
